City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Kutum,SD,80.11,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
9,Rikitea,PF,74.93,light rain,-23.12,-134.97,Pension Maro'i
11,San Lorenzo,PY,87.8,few clouds,-25.33,-57.53,Ámbar Hotel
15,Hilo,US,75.99,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
20,Bandarbeyla,SO,77.77,clear sky,9.49,50.81,REER XOOSHLE GROUP
22,Boffa,GN,82.63,few clouds,10.17,-14.03,Hôtel Niara Belly
30,Tessalit,ML,82.38,broken clouds,20.2,1.01,
31,Atuona,PF,77.85,light rain,-9.8,-139.03,Villa Enata
32,Poya,NC,72.0,clear sky,-21.35,165.15,
34,Bosaso,SO,79.27,clear sky,11.28,49.18,Red Sea Hotel
35,Lodja,CD,72.25,broken clouds,-3.48,23.43,
36,Kalmunai,LK,81.45,broken clouds,7.42,81.82,VS Villa
37,Kahului,US,73.99,few clouds,20.89,-156.47,Maui Seaside Hotel
43,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
44,San Quintin,MX,77.02,clear sky,30.48,-115.95,Old Mill Hotel
50,Daru,PG,80.71,overcast clouds,-9.08,143.21,New century hotel
55,Jalingo,NG,82.27,scattered clouds,8.88,11.37,Debright Motel
57,Bambanglipuro,ID,76.78,moderate rain,-7.95,110.28,Puri Brata
59,Tiznit,MA,74.16,clear sky,29.58,-9.5,
64,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
69,Rawah,IQ,72.45,few clouds,34.48,41.91,المملكة الراوية الهاشمية
70,Catamarca,AR,87.01,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
72,Mitu,CO,77.27,overcast clouds,1.2,-70.17,
82,Kavieng,PG,82.54,light rain,-2.57,150.8,Nusa Island Retreat
84,Mazatlan,MX,87.01,overcast clouds,23.22,-106.42,Gaviana Resort
87,Naze,JP,71.6,light rain,28.37,129.48,奄美ポートタワーホテル
88,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
90,Axim,GH,79.18,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
92,Padang,ID,79.02,overcast clouds,-0.95,100.35,Mercure Padang
96,Sao Filipe,CV,80.08,clear sky,14.9,-24.5,Tortuga B&B
100,Papetoai,PF,80.6,shower rain,-17.5,-149.87,InterContinental Resort And Spa Moorea
101,Butaritari,KI,81.68,broken clouds,3.07,172.79,Isles Sunset Lodge
105,Balotra,IN,78.62,clear sky,25.83,72.23,Hotel City Square
106,Punta Cardon,VE,85.64,overcast clouds,11.66,-70.22,Posada Bambuda
107,Hithadhoo,MV,83.43,moderate rain,-0.6,73.08,Scoop Guest House
109,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
110,Ponta Do Sol,PT,71.6,few clouds,32.67,-17.1,Hotel do Campo
111,Biak,ID,77.56,overcast clouds,-0.91,122.88,Kost Ariz
113,Rayagada,IN,72.52,clear sky,19.17,83.42,"Hotel Swagath, Rayagada"
114,Namibe,AO,73.33,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
119,Itarema,BR,86.2,few clouds,-2.92,-39.92,Windvillage
121,Balikpapan,ID,79.07,light rain,-1.27,116.83,Grand Jatra Hotel Balikpapan
122,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
124,Presidencia Roque Saenz Pena,AR,87.01,clear sky,-26.79,-60.44,Hotel Aconcagua
126,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
131,Faanui,PF,79.21,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
