City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lagoa,PT,39.05,-27.98,64.63,80,90,21.94,light rain
1,Wageningen,NL,51.97,5.67,64.0,93,75,11.41,broken clouds
2,Ushuaia,AR,-54.8,-68.3,59.0,54,75,4.7,light rain
3,Dennis,US,41.74,-70.19,57.99,76,75,6.93,broken clouds
4,Barrow,US,71.29,-156.79,26.6,79,90,12.75,snow
5,Jadu,LY,31.95,12.03,61.79,71,57,6.93,broken clouds
6,Saint Anthony,US,45.02,-93.22,34.0,65,1,17.22,clear sky
7,Kutum,SD,14.2,24.67,80.11,21,53,9.44,broken clouds
8,Mahebourg,MU,-20.41,57.7,69.8,68,40,4.7,scattered clouds
9,Rikitea,PF,-23.12,-134.97,74.93,84,42,15.64,light rain
10,Kapaa,US,22.08,-159.32,66.2,100,20,8.05,few clouds
11,San Lorenzo,PY,-25.33,-57.53,87.8,27,20,6.93,few clouds
12,Margate,GB,51.38,1.39,62.01,94,79,5.99,broken clouds
13,Yellowknife,CA,62.46,-114.35,17.01,92,90,8.05,light snow
14,Punta Arenas,CL,-53.15,-70.92,59.0,58,75,9.17,broken clouds
15,Hilo,US,19.73,-155.09,75.99,69,90,0.94,overcast clouds
16,Hobart,AU,-42.88,147.33,55.4,87,90,6.93,overcast clouds
17,Ambikapur,IN,23.12,83.2,65.32,57,0,1.86,clear sky
18,Conceicao Da Barra,BR,-18.59,-39.73,69.21,92,100,5.53,moderate rain
19,Sabha,LY,27.04,14.43,66.56,45,0,7.4,clear sky
20,Bandarbeyla,SO,9.49,50.81,77.77,77,0,20.8,clear sky
21,Nehe,CN,48.48,124.83,26.11,90,100,12.08,snow
22,Boffa,GN,10.17,-14.03,82.63,77,18,8.12,few clouds
23,Bethel,US,41.37,-73.41,52.0,79,100,1.01,light rain
24,Mataura,NZ,-46.19,168.86,48.0,76,71,3.0,broken clouds
25,Bredasdorp,ZA,-34.53,20.04,64.4,82,0,12.75,clear sky
26,Yichang,CN,30.71,111.28,57.0,72,100,3.83,light rain
27,Thompson,CA,55.74,-97.86,15.8,92,90,6.93,light snow
28,Vityazevo,RU,44.99,37.27,59.0,62,42,22.37,light rain
29,Tasiilaq,GL,65.61,-37.64,30.2,86,100,6.93,overcast clouds
30,Tessalit,ML,20.2,1.01,82.38,15,82,7.72,broken clouds
31,Atuona,PF,-9.8,-139.03,77.85,79,22,16.2,light rain
32,Poya,NC,-21.35,165.15,72.0,80,0,6.58,clear sky
33,Hasaki,JP,35.73,140.83,59.0,93,75,3.36,broken clouds
34,Bosaso,SO,11.28,49.18,79.27,71,9,8.68,clear sky
35,Lodja,CD,-3.48,23.43,72.25,89,53,1.05,broken clouds
36,Kalmunai,LK,7.42,81.82,81.45,72,57,4.83,broken clouds
37,Kahului,US,20.89,-156.47,73.99,83,20,3.36,few clouds
38,Hermanus,ZA,-34.42,19.23,66.0,76,0,8.01,clear sky
39,Copiapo,CL,-27.37,-70.33,66.2,52,0,14.99,clear sky
40,Qaqortoq,GL,60.72,-46.03,26.6,73,29,3.36,scattered clouds
41,New Norfolk,AU,-42.78,147.06,54.0,76,99,1.63,overcast clouds
42,Pevek,RU,69.7,170.31,15.64,89,98,14.18,overcast clouds
43,Vaini,TO,-21.2,-175.2,73.4,88,75,8.05,broken clouds
44,San Quintin,MX,30.48,-115.95,77.02,36,2,6.69,clear sky
45,Albany,US,42.6,-73.97,51.01,71,99,8.01,overcast clouds
46,Skelleftea,SE,64.75,20.95,46.4,87,75,14.99,broken clouds
47,Carnarvon,AU,-24.87,113.63,68.0,68,40,17.22,scattered clouds
48,Cape Town,ZA,-33.93,18.42,66.99,77,0,17.22,clear sky
49,Oromocto,CA,45.84,-66.48,48.2,70,90,16.11,overcast clouds
50,Daru,PG,-9.08,143.21,80.71,82,100,12.53,overcast clouds
51,Haines Junction,CA,60.75,-137.51,8.6,78,100,2.24,overcast clouds
52,Geraldton,AU,-28.77,114.6,57.2,93,75,9.17,light rain
53,Saint-Philippe,RE,-21.36,55.77,69.8,64,20,6.93,few clouds
54,Ahipara,NZ,-35.17,173.17,60.08,93,77,5.75,broken clouds
55,Jalingo,NG,8.88,11.37,82.27,34,35,1.5,scattered clouds
56,Belaya Gora,RU,68.53,146.42,-12.57,87,82,7.45,broken clouds
57,Bambanglipuro,ID,-7.95,110.28,76.78,86,94,5.17,moderate rain
58,Oranjemund,NA,-28.55,16.43,65.89,58,0,16.87,clear sky
59,Tiznit,MA,29.58,-9.5,74.16,26,0,2.71,clear sky
60,Lebu,CL,-37.62,-73.65,58.77,76,8,7.47,clear sky
61,Jamestown,US,42.1,-79.24,46.0,86,90,23.04,light rain
62,Kaitangata,NZ,-46.28,169.85,48.0,66,78,3.0,broken clouds
63,Bafq,IR,31.61,55.41,59.16,30,0,0.72,clear sky
64,Avarua,CK,-21.21,-159.78,75.2,94,88,18.34,overcast clouds
65,Iqaluit,CA,63.75,-68.51,12.2,78,20,3.36,few clouds
66,Dunedin,NZ,-45.87,170.5,48.0,73,100,10.63,overcast clouds
67,Busselton,AU,-33.65,115.33,53.01,95,90,6.78,overcast clouds
68,Saskylakh,RU,71.92,114.08,-10.8,87,77,10.02,broken clouds
69,Rawah,IQ,34.48,41.91,72.45,22,20,10.49,few clouds
70,Catamarca,AR,-28.47,-65.79,87.01,26,3,5.99,clear sky
71,Kurchum,KZ,48.57,83.65,35.83,75,0,3.62,clear sky
72,Mitu,CO,1.2,-70.17,77.27,87,97,0.72,overcast clouds
73,Mount Gambier,AU,-37.83,140.77,48.2,93,84,6.93,mist
74,Te Anau,NZ,-45.42,167.72,39.7,87,99,1.68,overcast clouds
75,Upernavik,GL,72.79,-56.15,17.19,95,100,3.22,overcast clouds
76,Alakurtti,RU,66.97,30.35,39.0,96,100,5.99,overcast clouds
77,Clarksburg,US,39.28,-80.34,57.2,62,75,20.8,broken clouds
78,Longyearbyen,SJ,78.22,15.64,30.2,74,40,23.04,scattered clouds
79,Faya,SA,18.39,42.45,66.2,82,0,4.18,clear sky
80,Port Elizabeth,ZA,-33.92,25.57,66.2,77,20,16.11,few clouds
81,Solnechnyy,RU,50.72,136.63,32.18,95,72,4.85,broken clouds
82,Kavieng,PG,-2.57,150.8,82.54,73,70,5.23,light rain
83,Coquimbo,CL,-29.95,-71.34,60.8,72,40,11.41,scattered clouds
84,Mazatlan,MX,23.22,-106.42,87.01,61,91,1.99,overcast clouds
85,Talnakh,RU,69.49,88.4,21.2,85,75,22.37,light snow
86,Chokurdakh,RU,70.63,147.92,0.57,94,100,10.27,overcast clouds
87,Naze,JP,28.37,129.48,71.6,94,75,6.93,light rain
88,San Cristobal,VE,7.77,-72.22,82.4,65,40,4.7,scattered clouds
89,Souillac,MU,-20.52,57.52,69.8,68,40,4.7,scattered clouds
90,Axim,GH,4.87,-2.24,79.18,86,98,6.71,light rain
91,Khatanga,RU,71.97,102.5,0.84,92,98,4.47,overcast clouds
92,Padang,ID,-0.95,100.35,79.02,71,100,2.06,overcast clouds
93,Lujiang,CN,31.26,117.28,63.0,82,100,2.24,light rain
94,Ribeira Grande,PT,38.52,-28.7,64.4,88,75,17.22,light intensity drizzle rain
95,Urengoy,RU,65.97,78.37,26.49,97,97,16.73,overcast clouds
96,Sao Filipe,CV,14.9,-24.5,80.08,72,0,10.51,clear sky
97,Skarzysko-Kamienna,PL,51.11,20.87,46.0,85,35,3.0,scattered clouds
98,Seoul,KR,37.57,126.98,48.2,100,1,3.18,mist
99,Ocsod,HU,46.9,20.4,50.0,81,0,2.24,clear sky
100,Papetoai,PF,-17.5,-149.87,80.6,74,75,2.24,shower rain
101,Butaritari,KI,3.07,172.79,81.68,77,62,9.17,broken clouds
102,Port Alfred,ZA,-33.59,26.89,66.9,77,69,22.68,broken clouds
103,Klaksvik,FO,62.23,-6.59,44.6,93,74,6.93,light rain
104,Ketchikan,US,55.34,-131.65,53.6,100,90,28.86,light rain
105,Balotra,IN,25.83,72.23,78.62,18,0,2.37,clear sky
106,Punta Cardon,VE,11.66,-70.22,85.64,65,99,1.52,overcast clouds
107,Hithadhoo,MV,-0.6,73.08,83.43,73,100,11.63,moderate rain
108,Esperance,AU,-33.87,121.9,60.8,100,90,8.05,light rain
109,Kloulklubed,PW,7.04,134.26,75.2,100,75,3.36,broken clouds
110,Ponta Do Sol,PT,32.67,-17.1,71.6,83,20,4.7,few clouds
111,Biak,ID,-0.91,122.88,77.56,74,97,5.57,overcast clouds
112,Pingxiang,CN,27.62,113.85,60.19,89,100,2.62,overcast clouds
113,Rayagada,IN,19.17,83.42,72.52,78,4,2.3,clear sky
114,Namibe,AO,-15.2,12.15,73.33,71,19,8.84,few clouds
115,Dikson,RU,73.51,80.55,21.16,98,98,7.63,overcast clouds
116,Emirdag,TR,39.02,31.15,43.52,68,26,2.66,scattered clouds
117,Kyzyl-Suu,KG,42.34,78.01,37.76,56,13,8.08,few clouds
118,Sur,OM,22.57,59.53,69.84,50,0,1.48,clear sky
119,Itarema,BR,-2.92,-39.92,86.2,63,24,17.78,few clouds
120,Ginir,ET,7.13,40.7,57.34,92,18,0.56,light rain
121,Balikpapan,ID,-1.27,116.83,79.07,85,100,4.94,light rain
122,Saldanha,ZA,-33.01,17.94,78.8,24,0,6.93,clear sky
123,Bluff,NZ,-46.6,168.33,48.0,76,78,3.0,broken clouds
124,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,87.01,23,0,5.99,clear sky
125,Castro,BR,-24.79,-50.01,67.62,56,66,8.28,broken clouds
126,Mount Isa,AU,-20.73,139.5,75.2,16,0,8.05,clear sky
127,Cervo,ES,43.67,-7.41,69.01,92,95,15.99,overcast clouds
128,East London,ZA,-33.02,27.91,62.6,88,75,10.29,broken clouds
129,Nanortalik,GL,60.14,-45.24,30.13,88,45,24.43,scattered clouds
130,Norilsk,RU,69.35,88.2,21.2,85,75,22.37,light snow
131,Faanui,PF,-16.48,-151.75,79.21,81,68,20.94,broken clouds
132,Chuy,UY,-33.7,-53.46,66.2,46,0,10.04,clear sky
133,Sovetskiy,RU,61.36,63.58,27.59,96,0,7.47,clear sky
134,Lubango,AO,-14.92,13.49,64.72,86,97,6.46,light rain
135,Levelland,US,33.59,-102.38,63.0,36,20,10.29,few clouds
136,Tiksi,RU,71.69,128.87,-6.83,90,0,7.27,clear sky
137,Xixiang,CN,35.16,112.86,57.0,99,0,4.76,clear sky
138,Georgetown,MY,5.41,100.34,80.6,88,20,2.24,light rain
139,Mataram,ID,-8.58,116.12,75.2,94,75,6.46,broken clouds
140,Labuan,MY,5.28,115.24,78.8,88,20,5.82,few clouds
141,Saint-Augustin,CA,51.23,-58.65,38.98,71,90,23.51,overcast clouds
142,Chernyshevskiy,RU,63.01,112.47,3.25,93,52,8.93,broken clouds
143,Ixtapa,MX,20.7,-105.2,84.99,81,1,5.99,clear sky
144,Talara,PE,-4.58,-81.27,80.6,54,0,14.99,clear sky
145,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,81.5,72,84,13.69,broken clouds
146,Shchigry,RU,51.88,36.9,48.2,93,90,8.95,mist
147,Hamilton,US,39.18,-84.53,52.0,37,15,8.01,few clouds
148,Constitucion,CL,-35.33,-72.42,60.91,70,60,8.08,broken clouds
149,Rio Grande,BR,-32.03,-52.1,70.0,56,40,9.17,scattered clouds
150,Akyab,MM,20.15,92.9,77.86,87,98,7.94,overcast clouds
151,Cherskiy,RU,68.75,161.3,7.23,95,98,8.52,overcast clouds
152,Warri,NG,5.52,5.75,78.13,88,96,5.21,light rain
153,Thinadhoo,MV,0.53,72.93,83.7,74,62,10.65,broken clouds
154,Lancaster,US,40.25,-76.25,51.01,93,100,1.99,light rain
155,Zyryanka,RU,65.75,150.85,-4.04,92,55,3.65,broken clouds
156,Santa Rosalia,MX,27.32,-112.28,83.03,27,25,6.31,scattered clouds
157,Chapada Dos Guimaraes,BR,-15.46,-55.75,93.2,38,40,2.24,scattered clouds
158,Aitape,PG,-3.14,142.35,78.57,81,99,4.23,moderate rain
159,Quelimane,MZ,-17.88,36.89,77.0,83,20,4.7,few clouds
160,Tocopilla,CL,-22.09,-70.2,71.15,42,18,7.25,few clouds
161,Codrington,AU,-38.27,141.97,48.4,85,85,8.57,overcast clouds
162,Kieta,PG,-6.22,155.63,79.02,73,10,1.72,clear sky
163,Arona,ES,28.1,-16.68,84.2,23,0,18.34,clear sky
164,Handlova,SK,48.73,18.76,46.4,87,90,1.12,light rain
165,Puerto Ayora,EC,-0.74,-90.35,77.0,69,75,19.46,broken clouds
166,San Luis,AR,-33.3,-66.34,81.99,16,1,7.31,clear sky
167,Nome,US,64.5,-165.41,10.4,85,1,5.17,clear sky
168,Emerald,AU,-23.53,148.17,69.8,64,0,9.17,clear sky
169,Tuatapere,NZ,-46.13,167.68,48.0,76,51,3.0,broken clouds
170,Ozinki,RU,51.18,49.68,46.51,63,97,9.93,overcast clouds
171,Uchaly,RU,54.3,59.45,29.95,98,69,5.23,broken clouds
172,Ankazoabo,MG,-22.28,44.52,80.71,36,95,4.83,overcast clouds
173,Norashen,AM,40.0,44.59,60.8,29,20,5.82,few clouds
174,Vanimo,PG,-2.67,141.3,78.82,82,84,5.14,light rain
175,Olafsvik,IS,64.89,-23.71,37.9,78,60,12.01,broken clouds
176,Teguldet,RU,57.31,88.17,33.82,91,100,12.06,overcast clouds
177,Kamaishi,JP,39.27,141.88,57.2,79,97,12.84,overcast clouds
178,Bitung,ID,1.45,125.18,77.0,83,20,3.36,few clouds
179,Airai,TL,-8.93,125.41,60.64,86,85,1.9,overcast clouds
180,Tual,ID,-5.67,132.75,83.68,77,81,17.13,broken clouds
181,Narasannapeta,IN,18.42,84.05,77.27,81,2,4.92,clear sky
182,Nikolskoye,RU,59.7,30.79,33.01,100,90,11.18,fog
183,Balkhash,KZ,46.84,74.98,40.77,68,0,3.22,clear sky
184,Les Cayes,HT,18.2,-73.75,83.98,71,100,13.13,overcast clouds
185,Chimbote,PE,-9.09,-78.58,66.54,70,99,11.03,overcast clouds
186,Kampong Cham,KH,11.99,105.46,75.94,89,92,6.73,overcast clouds
187,Jumla,NP,29.27,82.18,46.81,59,0,5.44,clear sky
188,Venice,US,27.1,-82.45,86.0,70,1,9.17,clear sky
189,Lluta,PE,-16.01,-72.01,68.0,28,0,11.41,clear sky
190,Dover,US,39.16,-75.52,54.0,100,90,4.7,moderate rain
191,Anadyr,RU,64.75,177.48,15.8,78,0,8.95,clear sky
192,Wamba,NG,8.93,8.6,78.44,41,24,1.34,few clouds
193,Victoria,HK,22.29,114.16,75.0,76,29,1.01,light rain
194,Eyl,SO,7.98,49.82,80.53,68,0,19.82,clear sky
195,Tugulym,RU,57.06,64.64,30.2,86,20,8.95,few clouds
196,Khartoum,SD,15.55,32.53,93.2,16,0,9.17,clear sky
197,Pauini,BR,-7.71,-66.98,89.76,51,92,1.63,overcast clouds
198,Kamennomostskiy,RU,44.3,40.19,55.17,85,65,3.65,light rain
199,Coihaique,CL,-45.58,-72.07,71.6,40,0,4.7,clear sky
200,Vung Tau,VN,10.35,107.08,80.26,84,81,12.93,broken clouds
201,Oktyabrskiy,RU,54.48,53.47,35.29,86,76,6.51,broken clouds
202,Ongandjera,NA,-17.88,15.07,89.28,22,21,2.59,few clouds
203,Matao,BR,-21.6,-48.37,78.1,51,56,11.14,broken clouds
204,Svetlogorsk,BY,52.63,29.73,44.2,85,98,9.53,overcast clouds
205,Grand Gaube,MU,-20.01,57.66,68.0,67,9,1.99,clear sky
206,Waingapu,ID,-9.66,120.26,79.7,76,75,4.29,broken clouds
207,Bar-Le-Duc,FR,48.75,5.17,64.4,72,90,11.41,overcast clouds
208,Bambous Virieux,MU,-20.34,57.76,69.8,68,40,4.7,scattered clouds
209,Bonavista,CA,48.65,-53.11,42.8,41,8,10.29,clear sky
210,Whitianga,NZ,-36.83,175.7,54.0,96,85,2.59,overcast clouds
211,Qaanaaq,GL,77.48,-69.36,0.95,74,0,7.23,clear sky
212,Konigs Wusterhausen,DE,52.3,13.63,57.2,87,0,11.41,clear sky
213,Kovdor,RU,67.57,30.48,38.75,93,100,11.41,overcast clouds
214,Nogent-Le-Rotrou,FR,48.33,1.0,62.6,93,100,19.46,overcast clouds
215,Lorengau,PG,-2.02,147.27,82.62,74,13,6.55,few clouds
216,Prince Rupert,CA,54.32,-130.32,53.6,87,90,18.34,overcast clouds
217,Provideniya,RU,64.38,-173.3,21.87,86,0,2.3,clear sky
218,North Platte,US,41.12,-100.77,48.0,39,1,4.7,clear sky
219,Marawi,PH,8.0,124.29,75.99,88,100,5.01,moderate rain
220,Sawtell,AU,-30.38,153.1,62.6,77,75,6.93,broken clouds
221,Atasu,KZ,48.68,71.64,39.31,58,99,3.74,overcast clouds
222,Lompoc,US,34.64,-120.46,68.0,39,1,2.64,clear sky
223,Ambilobe,MG,-13.2,49.05,73.33,70,53,5.08,broken clouds
224,Xaltianguis,MX,17.07,-99.83,85.5,52,36,4.12,scattered clouds
225,Bilma,NE,18.69,12.92,74.82,22,0,5.99,clear sky
226,Saint George,US,37.1,-113.58,55.4,19,1,4.41,clear sky
227,Fort Abbas,PK,29.19,72.85,69.98,20,0,3.49,clear sky
228,Suriapet,IN,17.15,79.62,72.57,71,0,6.06,clear sky
229,Cradock,ZA,-32.16,25.62,65.17,57,2,9.48,clear sky
230,Bakel,SN,14.9,-12.46,93.15,12,67,4.99,broken clouds
231,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,16.11,broken clouds
232,Torbay,CA,47.67,-52.73,42.01,51,20,17.22,few clouds
233,Bhadra,IN,29.12,75.17,70.23,20,0,4.63,clear sky
234,Ugoofaaru,MV,5.67,73.0,82.6,73,24,6.96,few clouds
235,Boa Vista,BR,2.82,-60.67,82.4,69,75,16.11,shower rain
236,Bathsheba,BB,13.22,-59.52,86.0,74,75,17.22,shower rain
237,Ondjiva,AO,-17.07,15.73,85.12,31,91,4.88,light rain
238,Nangka,PH,9.4,122.82,77.18,85,96,4.81,light rain
239,Leningradskiy,RU,69.38,178.42,13.62,82,63,5.91,broken clouds
240,Severo-Kurilsk,RU,50.68,156.12,40.5,76,1,3.33,clear sky
241,Muncar,ID,-8.43,114.33,75.87,89,78,0.76,broken clouds
242,Ancud,CL,-41.87,-73.82,71.01,59,0,5.82,clear sky
243,Kaeo,NZ,-35.1,173.78,57.99,95,62,0.76,broken clouds
244,Cockburn Town,TC,21.46,-71.14,86.0,62,75,11.41,broken clouds
245,Ngorongoro,TZ,-3.24,35.49,59.47,59,35,7.18,scattered clouds
246,Port Blair,IN,11.67,92.75,80.58,78,51,3.11,broken clouds
247,Mar Del Plata,AR,-38.0,-57.56,69.8,49,20,9.17,few clouds
248,Tarakan,ID,3.3,117.63,76.77,89,100,10.45,overcast clouds
249,Shenjiamen,CN,29.96,122.3,65.82,84,98,11.48,overcast clouds
250,Chaiya,TH,9.39,99.2,78.3,86,98,5.21,overcast clouds
251,Berlevag,NO,70.86,29.09,37.4,84,0,26.4,light rain
252,Pisco,PE,-13.7,-76.22,64.99,82,90,6.93,overcast clouds
253,Musoma,TZ,-1.5,33.8,75.43,64,73,4.25,broken clouds
254,Golkoy,TR,40.69,37.62,60.8,100,75,5.82,broken clouds
255,Uarini,BR,-2.99,-65.11,84.2,74,40,4.7,scattered clouds
256,Mahon,ES,39.89,4.27,62.6,82,20,4.7,few clouds
257,Shache,CN,38.42,77.24,35.29,81,0,2.15,clear sky
258,Nizwa,OM,22.93,57.53,65.19,27,0,3.09,clear sky
259,Podgorica,ME,42.44,19.26,59.0,67,0,3.36,clear sky
260,Barra Do Garcas,BR,-15.89,-52.26,87.8,52,40,3.36,scattered clouds
261,Portland,US,45.52,-122.68,57.99,68,0,1.99,clear sky
262,Yeppoon,AU,-23.13,150.73,69.8,88,46,4.07,scattered clouds
263,Bokoro,TD,12.38,17.06,88.38,20,0,10.54,clear sky
264,The Valley,AI,18.22,-63.06,87.8,66,20,20.8,few clouds
265,Moose Factory,CA,51.26,-80.61,33.8,97,90,24.16,overcast clouds
266,Guerrero Negro,MX,27.98,-114.06,79.45,37,0,5.48,clear sky
267,Mnogovershinnyy,RU,53.94,139.92,31.37,100,97,0.85,overcast clouds
268,Conde,BR,-7.26,-34.91,86.0,66,40,11.41,scattered clouds
269,Mareeba,AU,-17.0,145.43,68.0,88,32,1.12,scattered clouds
