City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2020-10-29 21:34:00,-34.53,20.04,51.8,62,4,6.93
1,Lebu,CL,2020-10-29 21:34:01,-37.62,-73.65,55.06,72,0,20.09
2,Gazanjyk,TM,2020-10-29 21:34:01,39.24,55.52,46.29,45,0,15.3
3,Mancio Lima,BR,2020-10-29 21:34:01,-7.61,-72.9,91.4,59,40,6.93
4,Saint-Philippe,RE,2020-10-29 21:34:01,-21.36,55.77,71.6,56,75,18.34
5,Mataura,NZ,2020-10-29 21:33:13,-46.19,168.86,62.01,79,100,1.99
6,Castro,BR,2020-10-29 21:34:02,-24.79,-50.01,60.82,93,100,4.97
7,Atuona,PF,2020-10-29 21:33:20,-9.8,-139.03,78.24,69,79,16.67
8,San Patricio,US,2020-10-29 21:33:33,28.02,-97.52,73.4,35,20,17.22
9,Bluff,NZ,2020-10-29 21:34:02,-46.6,168.33,62.01,79,100,1.99
10,Saint-Denis,FR,2020-10-29 21:34:03,48.92,2.33,59.0,82,90,12.75
11,Puerto Ayora,EC,2020-10-29 21:33:17,-0.74,-90.35,77.0,73,20,18.34
12,Malappuram,IN,2020-10-29 21:34:03,11.07,76.07,78.8,88,40,2.39
13,Alofi,NU,2020-10-29 21:33:18,-19.06,-169.92,77.0,65,40,17.22
14,Olafsvik,IS,2020-10-29 21:34:03,64.89,-23.71,43.68,83,99,17.96
15,Vaini,TO,2020-10-29 21:34:03,-21.2,-175.2,75.2,69,40,12.75
16,Barrow,US,2020-10-29 21:34:04,71.29,-156.79,14.0,85,90,11.41
17,Kapaa,US,2020-10-29 21:33:17,22.08,-159.32,82.0,61,20,6.93
18,Batemans Bay,AU,2020-10-29 21:34:04,-35.72,150.18,62.01,85,84,1.01
19,Port Lincoln,AU,2020-10-29 21:34:04,-34.73,135.87,56.14,77,73,24.34
20,Ushuaia,AR,2020-10-29 21:34:04,-54.8,-68.3,46.4,70,40,34.45
